"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SERPINF1","SERPINF1",7.48928651281378,-0.233525880017066,2.39630991799507,-0.0974522862270047,0.922367223879928,0.958800055725648
"SERPINF2","SERPINF2",18.4332897822568,-3.41877933633687,1.6357486894726,-2.09003947754295,0.0366142535999042,0.128799636944123
"SERPINH1","SERPINH1",1154.93193149405,-1.76198212067732,0.416563235179781,-4.22980707819038,2.33891807442907e-05,0.000614867190569894
"SERPINI1","SERPINI1",14.27768458876,-1.58230598468458,1.37590293491183,-1.15001279853072,0.250138599949772,0.439224697469859
"SERTAD1","SERTAD1",236.5967121757,3.16678282161518,0.707441212244404,4.47639007567619,7.59157266718552e-06,0.000249907754537758
"SERTAD2","SERTAD2",205.048381803663,-1.25356113398679,1.46814982359838,-0.853837335834269,0.393195124321649,0.58437480027095
"SERTAD3","SERTAD3",151.313084101826,1.37338513364109,0.72856869546691,1.88504549013177,0.0594236964414201,0.17603863399612
"SERTAD4","SERTAD4",16.809336976502,-4.95801966793186,1.58095387147762,-3.13609382119283,0.00171214420977062,0.0155802998840727
"SERTAD4-AS1","SERTAD4-AS1",6.57253803009598,-2.28199052651391,2.14827667679475,-1.06224237835076,0.288125665665846,0.479142431657669
"SESN1","SESN1",217.359276463741,1.5066415664186,0.607492027602879,2.48010096916614,0.0131345183642311,0.0655785814051148
"SESN2","SESN2",61.8620296174121,0.360269364407372,0.814508019760445,0.442315306500396,0.658261056195287,0.792517353359214
"SESN3","SESN3",284.907587291211,-1.03742205323516,0.835363811649843,-1.24188053009653,0.21428064465641,0.399096340333276
"SESTD1","SESTD1",1060.52135683317,-0.0476308757903315,0.546915356475867,-0.0870900318053754,0.93059994874718,0.96242037846675
"SET","SET",3479.33256176695,-1.95001112993161,0.531140488526384,-3.67136599836663,0.000241257560989065,0.00374102237013593
"SETD1A","SETD1A",269.199948807418,-1.3738652505029,0.76888525905826,-1.78682740281122,0.0739653889094163,0.20295516085152
"SETD1B","SETD1B",332.505998438864,-1.79765074985289,0.888424919601022,-2.02341324538734,0.043030559722295,0.142426371314101
"SETD2","SETD2",2180.17728873817,-0.950216777509846,0.57692498017994,-1.64703698081071,0.0995504448868732,0.245753437132321
"SETD3","SETD3",2230.71317194309,1.32659589716848,0.443211503693156,2.99314409963264,0.00276119344416186,0.0217698006060576
"SETD4","SETD4",490.766744411161,1.55205666609414,0.557777553209438,2.78257283241974,0.00539297593091124,0.0349423868951135
"SETD5","SETD5",2220.70816986691,-1.41529519297356,0.556639638496911,-2.54256990536152,0.0110040586877506,0.0578561064124064
"SETD6","SETD6",161.500268376319,-0.594265772500352,0.48110773651532,-1.2352031102319,0.216754922033122,0.402004148670503
"SETD7","SETD7",433.878328263822,-1.9559700682111,0.618838090559276,-3.16071376027191,0.00157383076723306,0.0146171684885839
"SETD8","SETD8",662.890554924904,-2.46176016610515,0.997293117470347,-2.46844194849098,0.0135702661041164,0.066956688019268
"SETD9","SETD9",575.420064720132,1.42414777731064,0.659539099471832,2.15930758078045,0.0308263124106187,0.115413776608312
"SETDB1","SETDB1",648.769578939377,-0.00974536073639788,0.486467840016688,-0.0200328982406392,0.984017128825826,0.991023770341294
"SETDB2","SETDB2",159.970885136437,-0.0827064101336779,0.561846074305944,-0.147204748624161,0.882970412571795,0.936127534659339
"SETMAR","SETMAR",409.922612346302,1.44806422447023,0.55748055648528,2.59751520949855,0.00939009615957085,0.0516700818163876
"SETX","SETX",4133.96349153039,-0.710405557498215,0.530559055474666,-1.33897546402756,0.180578660622346,0.358882044800054
"SEZ6L2","SEZ6L2",481.55804794252,-1.42729095198309,0.679971827800902,-2.099044245111,0.0358130006159993,0.126955269704227
"SF1","SF1",1590.4526809656,-2.27312000008202,0.584189301447058,-3.89106749208077,9.98041644442341e-05,0.00192888970781617
"SF3A1","SF3A1",1088.60771305951,-3.36422427192395,0.695313497484185,-4.83842796680424,1.30870109022402e-06,6.01797375940317e-05
"SF3A2","SF3A2",404.70184708743,-1.91474831748052,0.589545987887653,-3.24783537979976,0.00116286528591638,0.0117377146335692
"SF3A3","SF3A3",1634.10378407775,0.0765529310555851,0.515026503676648,0.148638818602718,0.881838640423558,0.935739761537738
"SF3B1","SF3B1",19769.5026675448,1.44651292183647,0.411320865427738,3.51675065239449,0.000436863965913559,0.00584704152918431
"SF3B14","SF3B14",2004.8573373175,-0.164248135089285,0.653783934971603,-0.251226936459396,0.801638659956839,0.88916729700619
"SF3B2","SF3B2",2712.8815458889,-1.85038638150047,0.617805092898045,-2.99509732563152,0.00274357285361678,0.021683981783246
"SF3B3","SF3B3",4759.40344627732,0.255527885212773,0.491335619905055,0.520067902388494,0.603016248981521,0.754783544787476
"SF3B4","SF3B4",390.150339797429,-0.679589327421461,0.513517109889818,-1.32340152710253,0.18570188422864,0.365439101553795
"SF3B5","SF3B5",1477.92303582699,1.26971129328015,0.664150587145525,1.91178223411242,0.0559041314283099,0.169293497919463
"SFI1","SFI1",570.277005896475,1.38401943866921,0.487927692325786,2.83652569927331,0.00456073077679369,0.0311168013003508
"SFMBT1","SFMBT1",1830.75948989237,0.275507224374285,0.532093422419935,0.517779797241791,0.604611915510078,0.756161722801061
