"","rnk"
"NPY1R",2.1977714615076
"FNTA",2.19681854886382
"AKR1C3",2.19301708946553
"TSTD1",2.19229422272343
"NDRG3",2.1910917701176
"PPM1N",2.19010959507097
"C11orf83",2.18994002866861
"OLFM1",2.18963547571404
"C15orf61",2.18790906399101
"NEURL2",2.18721711119422
"CHRM3",2.18609782979994
"IFRD1",2.18453888538064
"LEKR1",2.18397130013502
"C8orf76",2.18123914344474
"AKR1E2",2.18095435495671
"TASP1",2.17734533327295
"GNG12",2.1754336339005
"LAMP2",2.17530563616029
"LNPEP",2.17430015284937
"FAM118B",2.17241438823301
"PRLR",2.16877494095387
"SP100",2.16868759704231
"NR5A2",2.16717200782853
"SAP18",2.1665733281137
"KITLG",2.16636212088497
"UGGT2",2.16286047394261
"SCLT1",2.16274342450612
"FMO5",2.1624928794663
"BANP",2.1622372988095
"EIF4E2",2.16193730754244
"NUDT16L1",2.16161260151415
"LRR1",2.15970593316251
"METTL15",2.15949897081721
"CEP76",2.15877884283666
"KCNAB2",2.15818790111494
"WDR93",2.15792189287011
"TM2D1",2.15791098387144
"GPR89B",2.1566971019913
"SERPINA6",2.1555563376946
"RCHY1",2.15265482468389
"MTHFD2L",2.15154208026147
"CCZ1",2.1496437438136
"PFDN5",2.14915794526701
"STAMBPL1",2.14876009208246
"CDK8",2.14824174665572
"OVOL1",2.14746120004351
"VAMP3",2.1467417717535
"SRSF3",2.14610765527304
"MYL12B",2.14414487075646
"BBS4",2.14407769666771
"SCML1",2.14203437148879
"PELI1",2.13918938089219
"RAB32",2.13896854274945
"PCCA",2.13772849545869
